Food_Name,Ingredient,Amount
牛奶子烧饼,茴香,一两
牛奶子烧饼,酥油,一斤
牛奶子烧饼,牛奶子,二斤
牛奶子烧饼,白面,五斤
黑子儿烧饼,黑子儿,一两
黑子儿烧饼,酥油,一斤
黑子儿烧饼,牛奶子,二升
黑子儿烧饼,白面,五斤
荷莲兜子,芫荽叶,
荷莲兜子,醋,半瓶
荷莲兜子,葱,四两
荷莲兜子,苦肠,一副
荷莲兜子,羊肚,二副
荷莲兜子,羊肺,二副
荷莲兜子,鸡子,三十个
荷莲兜子,山药,三斤
荷莲兜子,豆粉,四斤
荷莲兜子,生姜,八两
荷莲兜子,小油,二斤
荷莲兜子,栀子,四钱
荷莲兜子,胭脂,一两
荷莲兜子,必思答仁,四两
荷莲兜子,胡桃仁,八两
荷莲兜子,杏泥,一斤
荷莲兜子,蘑菇,八两
荷莲兜子,八檐仁,四两
荷莲兜子,松黄,八两
荷莲兜子,鸡头仁,八两
荷莲兜子,羊尾子,二个
荷莲兜子,羊肉,三脚子
天花包子,天花,
天花包子,陈皮,
天花包子,生姜,
天花包子,羊尾子,
天花包子,葱,
天花包子,羊肉,
天花包子,羊脂,
莳萝角儿,陈皮,
莳萝角儿,羊尾子,
莳萝角儿,羊肉,
莳萝角儿,生姜,
莳萝角儿,葱,
莳萝角儿,羊脂,
撇列角儿,羊尾子,
撇列角儿,羊肉,
撇列角儿,新韭,
撇列角儿,羊脂,
酥皮奄子,陈皮,
酥皮奄子,羊尾子,
酥皮奄子,羊肉,
酥皮奄子,生姜,
酥皮奄子,葱,
酥皮奄子,羊脂,
水晶角儿,陈皮,
水晶角儿,羊尾子,
水晶角儿,羊肉,
水晶角儿,生姜,
水晶角儿,葱,
水晶角儿,羊脂,
剪花馒头,陈皮,
剪花馒头,羊尾子,
剪花馒头,羊肉,
剪花馒头,葱,
剪花馒头,羊脂,
茄子馒头,嫩茄子,
茄子馒头,陈皮,
茄子馒头,羊尾子,
茄子馒头,羊肉,
茄子馒头,葱,
茄子馒头,羊脂,
鹿奶肪馒头,生姜,
鹿奶肪馒头,鹿奶肪,
鹿奶肪馒头,陈皮,
鹿奶肪馒头,羊尾子,
仓馒头,陈皮,
仓馒头,葱,
仓馒头,羊肉,
仓馒头,生姜,
仓馒头,羊脂,
柳蒸羊,羊,一口
烧水札,料物,五钱
烧水札,葱,十茎
烧水札,芫荽末,一两
烧水札,水札,十个
烧雁,芫荽末,一两
烧雁,葱,二两
烧雁,羊肚,一个
烧雁,雁,一个
红丝,香菜,一两
红丝,香菜,一两
红丝,萝卜,一个
红丝,生姜,四两
红丝,羊血,
鱼,胭脂,
鱼,香菜,
鱼,蓼子,
鱼,葱,一两
鱼,萝卜,二个
鱼,生姜,二两
鱼,新鲤鱼,五个
熬羊胸子,料物,五钱
熬羊胸子,姜末,二两
熬羊胸子,羊胸子,二个
熬蹄儿,料物,五钱
熬蹄儿,姜末,一两
熬蹄儿,羊蹄,五副
炸䐑儿,葱,一两
炸䐑儿,哈昔泥,一钱
炸䐑儿,䐑儿,二个
马肚盘,芥末,半斤
马肚盘,马肚肠
肝生,香菜,二两
肝生,蓼子,二两
肝生,萝卜,二个
肝生,生姜,四两
肝生,羊肝,一个
细乞思哥,哈夫儿,二钱
细乞思哥,羊尾子,一个
细乞思哥,萝卜,二个
细乞思哥,羊肉,一脚子
攒牛蹄,姜末,二两
攒牛蹄,牛蹄,一副
攒羊头,胡椒,一两
攒羊头,姜末,四两
攒羊头,羊头,五个
蒲黄瓜齑,蒲黄,半斤
蒲黄瓜齑,小椒,一两
蒲黄瓜齑,净羊肉,十斤
猪头姜豉,蜜,半斤
猪头姜豉,小油,一斤
猪头姜豉,草果,五个
猪头姜豉,官桂,二钱
猪头姜豉,小椒,二钱
猪头姜豉,良姜,二钱
猪头姜豉,陈皮,二钱
猪头姜豉,猪头,二个
攒雁,姜末,半斤
攒雁,雁,五个
姜黄鱼,芫荽末,二两
姜黄鱼,豆粉,一斤
姜黄鱼,白面,二斤
姜黄鱼,鲤鱼,十个
