Food_Name,Ingredient,Amount
鲫鱼羹,草果,一钱
鲫鱼羹,小椒,二钱
鲫鱼羹,大鲫鱼,一头
獭肝羹,獭肝,一副
野猪,野猪肉,二斤
羊头脍,白羊头,一枚，
乌驴皮汤,乌驴皮,一张，
恶实菜,酥油上件,
恶实菜,恶实菜叶,
麻子粥,荆芥穗,一两
麻子粥,薄荷叶,一两
麻子粥,白粟米,三合
麻子粥,冬麻子,二两
荆芥粥,白粟米,三合
荆芥粥,豉,三合
荆芥粥,薄荷叶,一两
荆芥粥,荆芥穗,一两
葛粉羹,豉,三合
葛粉羹,荆芥穗,一两
葛粉羹,葛根,半斤
羊肚羹,生姜,二钱
羊肚羹,蜀椒,三十粒
羊肚羹,豉,半合,
羊肚羹,葱白,数茎
羊肚羹,粳米,二合
羊肚羹,羊肚,一枚
乌鸡酒,乌雌鸡,一只
熊肉羹,熊肉,一斤
狐肉羹,狐肉,不以多少
驴肉汤,乌驴肉,不以多少
驴头羹,草果,二钱
驴头羹,胡椒,二钱
驴头羹,乌驴头,一枚，
小麦粥,小麦,不以多少
马齿菜粥,马齿菜,
鲤鱼汤,草果,二钱
鲤鱼汤,小椒,二钱
鲤鱼汤,陈皮,二钱
鲤鱼汤,赤小豆,一合
鲤鱼汤,大鲤鱼,一头
葵菜羹,葵菜叶,不以多少
鸡子黄,鸡子黄,一枚
鹁鸽羹,白鹁鸽,一只
野鸡羹,野鸡,一只，
萝卜粥,大萝卜,五个
青鸭羹,草果,五个
青鸭羹,青头鸭,一只
黄雌鸡,赤小豆,一升
黄雌鸡,草果,二钱
黄雌鸡,黄雌鸡,一只
肉羹,草果,三个
肉羹,葱,一握
肉羹,肉,一斤
炙黄鸡,黄雌鸡,一只
乳饼面,乳饼,一个
炒黄面,白面,一斤
鲫鱼羹,荜拨,二钱
鲫鱼羹,缩砂,二钱
鲫鱼羹,陈皮,二钱
鲫鱼羹,小椒,二钱
鲫鱼羹,胡椒,二钱
鲫鱼羹,大蒜,两块
鲫鱼羹,大鲫鱼,二斤
生地黄粥,生地黄汁,二合
桃仁粥,桃仁,三两
鸡头粉羹,羊脊骨,一副
鸡头粉羹,鸡头,
鸡头粥,鸡,头实 三合
莲子粥,莲子,一升
牛肉脯,良姜,二钱
牛肉脯,缩砂,二钱
牛肉脯,草果,二钱
牛肉脯,陈皮,二钱
牛肉脯,荜拨,五钱
牛肉脯,胡椒,五钱
牛肉脯,牛肉,五斤
吴茱萸粥,吴茱萸,半两
良姜粥,粳米,三合
良姜粥,高良姜,半两
荜拨粥,桂,五钱
荜拨粥,胡椒,一两
荜拨粥,荜拨,一两
椒面羹,白面,四两
椒面羹,川椒,三钱
生地黄粥,酸枣仁,二两
生地黄粥,生地黄汁,一合
酸枣粥,酸枣仁,一碗
山药粥,山药,一斤
山药粥,羊肉,一斤
山药,山药,二斤
山药,缩砂,二钱
山药,胡椒,二钱
山药,良姜,一钱
山药,陈皮,一钱
山药,草果,五个
山药,葱白,一茎
山药,萝卜,一枚
山药,羊骨,七五块
醍醐酒,醍醐,一盏
乌鸡汤,草果,二个
乌鸡汤,胡椒,二钱
乌鸡汤,良姜,一钱
乌鸡汤,陈皮,一钱
乌鸡汤,乌雄鸡,一只
狐肉汤,哈昔泥,一钱
狐肉汤,良姜,二钱
狐肉汤,陈皮,一钱
狐肉汤,葱,一握
狐肉汤,缩砂,二钱
狐肉汤,草果,五个
狐肉汤,狐肉,五斤
黑牛髓煎,白沙蜜,半斤
黑牛髓煎,生地黄汁,半斤
黑牛髓煎,黑牛髓,半斤
鹿角酒,鹿角,长二三寸
鹿蹄汤,草果,二钱
鹿蹄汤,陈皮,二钱
鹿蹄汤,鹿蹄,四只
羊肉羹,葱白,三茎
羊肉羹,胡椒,一钱
羊肉羹,荜拨,一钱
羊肉羹,良姜,一钱
羊肉羹,陈皮,一钱
羊肉羹,草果,一钱
羊肉羹,萝卜,一个
羊肉羹,羊肉,半斤
鹿肾羹,鹿肾,一对
枸杞羊肾粥,羊肉,半斤
枸杞羊肾粥,葱白,一茎
枸杞羊肾粥,羊肾,一对
枸杞羊肾粥,枸杞叶,一斤
猪肾粥,缩砂,二钱
猪肾粥,陈皮,一钱
猪肾粥,草果,二钱
猪肾粥,粳米,三合
猪肾粥,猪肾,一对
白羊肾羹,草果,二钱
白羊肾羹,荜拨,二钱
白羊肾羹,陈皮,一钱
白羊肾羹,胡椒,二钱
白羊肾羹,羊脂,四两
白羊肾羹,肉苁蓉,一两
白羊肾羹,白羊肾,二具
羊脊骨粥,荜拨,二钱
羊脊骨粥,草果,三个
羊脊骨粥,肉苁蓉,一两
羊脊骨粥,羊脊骨,一具
羊骨粥,盐,少许
羊骨粥,生姜,一两
羊骨粥,草果,二个
羊骨粥,良姜,二钱
羊骨粥,陈皮,二钱
羊骨粥,羊骨,一副
羊藏羹,葱,五茎
羊藏羹,草果,两个
羊藏羹,良姜,二钱
羊藏羹,陈皮,二钱
羊藏羹,豉,一合
羊藏羹,荜拨,一两
羊藏羹,胡椒,一两
羊藏羹,牛酥,一两
羊藏羹,羊肝,一具
羊藏羹,羊肚,一具
羊藏羹,羊肾,一具
羊藏羹,羊心,一具
羊藏羹,羊肺,一具
羊蜜膏,生地黄汁,五合
羊蜜膏,生姜汁,一合
羊蜜膏,白沙蜜,五两
羊蜜膏,熟羊髓,五两
羊蜜膏,熟羊脂,五两
生地黄鸡,乌鸡,一枚
生地黄鸡,饴糖,五两
生地黄鸡,生地黄,半斤
