Food_Name_en|Effect_en|Ingredients_en|Steps_en
Mastajhi [Mastic] Soup|It supplements and increases, warms the center, and accords qi.|Mutton (leg; bone and cut up), tsaoko cardamoms (five), cinnamon (2 qian), chickpeas [“Muslim beans”] (one–half sheng; pul-verize and remove the skins).|Boil ingredients together to make a soup. Strain broth. 20 [Cut up meat and put aside.] Add 2 he of cooked chickpeas, 1 sheng of aromatic non–glutinous rice, 21 1 qian of mastajhi. Evenly adjust flavors with a little salt. Add [the] cut–up meat and [garnish with] coriander leaves.
Barley Soup|It warms the center and brings down qi. It strengthens spleen and stomach, controls polydipsia, and destroys chill qi. It gets rid of abdominal distension.|Mutton (leg; bone and cut up), tsaoko cardamoms (five), hulled barley (two sheng; scour wash in boiling water; parboil the grains.)|Boil ingredients to make a soup. Strain [broth. Cut up meat and put aside]. Add [the] hulled barley and boil until cooked. Evenly adjust flavors with a little salt. Add [the] cut–up meat.
Bal–po Soup | It supplements the center, and brings down qi. It extends the diaphragm.| Mutton (leg; bone and cut up), tsaoko cardamoms (five), chickpeas (half a sheng; pulverize and remove the skins), Chinese radish.|Boil ingredients together to make a soup. Strain [broth. Cut up meat and Chinese radish and put aside]. Add to the soup [the] mutton cut up into sashuq [coin]–sized pieces, [the] cooked Chinese radish cut up into sashuq–sized pieces, 1 qian of za’faran [saffron], 2 qian of Turmeric, 2 qian of Black [“Iranian”] Pepper [27B], half a qian of kasni, [asafoetida], coriander leaves. Evenly adjust flavors with a little salt. Eat over cooked aromatic non–glutinous rice. Add a little Vinegar.
Šaqimur [Rape Turnip] Soup|It supplements the center, and brings down qi. It harmonizes spleen and stomach.| Mutton (leg; bone and cut up), tsaoko cardamoms (five), chickpeas (half a sheng, pulverize and remove the skins), šaqimur (five); like Manqing [silver beet or Swiss chard]).| Boil ingredients together and make a soup. Strain [broth. Cut up meat and šaqimur and put aside]. Add 2 he of cooked chickpeas, 1 sheng of aromatic non–glutinous rice, [the] cooked šaqimur beet cut up into sashuq–sized pieces. Add [the] cut–up meat. Evenly adjust flavors with a little salt.
Fenugreek Seed Soup|It supplements lower primordial energy [yuanqi 元氣], orders loin and knee, warms the center, and accords qi.| Mutton (leg; bone and cut up), tsaoko cardamoms (five), fenugreek seeds (1 liang; a kind of hulba[t] [i.e., Fenugreek Seeds]).| Boil ingredients together and make a soup. Strain [broth]. Add Tangut Um Ash, or “Rice Heart Qizi,” half a qian of kasni. Adjust flavors with a little salt.
Chinese Quince Soup|It supplements the center, and accords qi. It cures pain of loin and knee, and [evil] foot qi insensitivity.| Mutton (leg; bone and cut up), tsaoko cardamoms (five), chickpeas (half a sheng; pulverize and remove the skins).|Boil ingredients together into a soup. Strain [broth. Cut up meat and put aside]. Add 1 sheng of aromatic non–glutinous rice, 2 he of cooked chickpeas, “meat pellets”, two jin of Chinese quince (take the juice), 4 liang of granulated sugar. Adjust flavors with a little salt. [The] cut–up meat can perhaps be added.
Deer Head Soup|It supplements and increases, controls polydipsia, and cures ache of foot and knee.|Deer’s head [and] hooves (one set; remove hair and clean; bone and divide into pieces).| For the ingredients, take a large chunk of kasni, grind up into a mush and apply evenly to deer head, [and] hoof meat. Fry both the [marinated] head and hoof meat in 4 liang of vegetable oil [“Muslim lesser oil”]. Quench roasted head and hoof meat in boiling water, 28 boil until soft. Add 3 qian of black pepper, 2 qian of kasni, 1 qian of long pepper [Piper longum], 1 cup of cow’s milk, 1 he of juice of sprouting ginger. Adjust flavors with a little salt. [Variation:] In one method, use deer’s tail to obtain broth. Add ground ginger. Adjust flavors with salt.
Pine Pollen [Juice] Soup| It supplements the center, and increases qi. It strengthens sinew and bone.| Mutton (leg; bone and cut up), tsaoko cardamoms (five), chickpeas (half a sheng; pulverize and remove the skins).| Boil ingredients together into a soup. Strain [broth]. Fry together: one cooked sheep’s thorax (cut up into sashuq–sized pieces), 2 he of pine pollen juice, half a he of juice of sprouting ginger. [Add to soup and] evenly adjust flavors with onions, salt, vinegar and [garnish with] coriander leaves. Eat with Long Rolled Bread.
Russian Olive [Fruit] Soup|It supplements the center, and increases qi. It strengthens spleen and stomach.|Mutton (leg; bone and cut up), tsaoko cardamoms (five), chickpeas (half a sheng; remove the skins).|Boil ingredients together into a soup. Strain [broth]. Add together to the pot: a cooked dried sheep’s thorax (sliced up), 3 sheng of Russian olive fruits, Chinese cabbage or nettle leaf. Evenly adjust flavors with salt.
Barley *Samsa Noodles|They supplement the center, and increase qi. They strengthen spleen and stomach.| Mutton (leg; bone and cut up), tsaoko cardamoms (five), chickpeas (half a sheng; remove the skins).|Boil ingredients together into a soup. Strain [broth. Set aside meat]. Make [*samsa] noodles from a combination of 3 jin of barley flour, 1 chin of bean paste. [Fill with] mutton and fry. Adjust flavors with a fine qima, 2 he of juice of sprouting ginger, coriander leaves, salt, and vinegar.
